iteration,locality,amr_bounds,component/count,component/time,count/allocate,count/begin_migration,count/bind,count/bind_gid,count/bind_name,count/bind_prefix,count/cache/entries,count/cache/erase_entry,count/cache/evictions,count/cache/get_entry,count/cache/hits,count/cache/insert_entry,count/cache/insertions,count/cache/misses,count/cache/update_entry,count/cumulative,count/cumulative-phases,count/decrement_credit,count/end_migration,count/free,count/get_component_typename,count/increment_credit,count/iterate_names,count/iterate_types,count/localities,count/num_localities,count/num_localities_type,count/num_threads,count/on_symbol_namespace_event,count/resolve,count/resolve_gid,count/resolve_id,count/resolve_locality,count/route,count/unbind,count/unbind_gid,count/unbind_name,locality/count,locality/time,primary/count,primary/time,subgrid_leaves,subgrids,symbol/count,symbol/time,time/allocate,time/begin_migration,time/bind,time/bind_gid,time/bind_name,time/bind_prefix,time/cache/erase_entry,time/cache/get_entry,time/cache/insert_entry,time/cache/update_entry,time/decrement_credit,time/end_migration,time/free,time/get_component_typename,time/increment_credit,time/iterate_names,time/iterate_types,time/localities,time/num_localities,time/num_localities_type,time/num_threads,time/on_symbol_namespace_event,time/resolve,time/resolve_gid,time/resolve_id,time/resolve_locality,time/route,time/unbind,time/unbind_gid,time/unbind_name,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0
1,10,0.0,,,0.0,0.0,93.0,0.0,,,1.0,0.0,0.0,4.0,2.0,1.0,1.0,4.0,2.0,50.523809523809526,200.95238095238096,0.0,0.0,,,0.0,0.0,,,,,,0.0,85.0,0.0,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,178.0,374388.0,0.0,0.0,245376.0,0.0,,,0.0,1752.0,1274.0,5650.0,0.0,0.0,,,0.0,0.0,,,,,,0.0,129012.0,0.0,,,0.0,0.0,0.0,,117.66333333333334,72.99666666666667,79.33,72.99666666666667,70.66000000000001,76.33,84.99333333333334,101.33,100.33,74.66333333333334,81.33,69.33,73.66333333333334,67.66333333333334,71.66333333333334,87.99666666666667,57.663333333333334,67.99666666666667,66.66333333333334,60.663333333333334
1,11,0.0,,,0.0,0.0,93.0,0.0,,,1.0,0.0,0.0,4.0,2.0,1.0,1.0,4.0,2.0,49.904761904761905,478.3809523809524,0.0,0.0,,,0.0,0.0,,,,,,0.0,87.0,0.0,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,180.0,376900.0,0.0,0.0,247258.0,0.0,,,0.0,1626.0,1186.0,5967.0,0.0,0.0,,,0.0,0.0,,,,,,0.0,129642.0,0.0,,,0.0,0.0,0.0,,131.66,74.99666666666667,78.66333333333334,77.33,91.66000000000001,80.66333333333334,103.66333333333334,101.99666666666667,85.66333333333334,98.66333333333334,69.99666666666667,57.663333333333334,67.99666666666667,61.99666666666667,82.33,450.66333333333336,473.33,459.33,475.33,445.66333333333336
1,12,0.0,,,0.0,0.0,86.0,0.0,,,1.0,0.0,0.0,4.0,2.0,1.0,1.0,4.0,2.0,50.76190476190476,4647.619047619048,0.0,0.0,,,0.0,0.0,,,,,,0.0,84.0,0.0,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,170.0,351533.0,0.0,0.0,223240.0,0.0,,,0.0,1820.0,1477.0,5843.0,0.0,0.0,,,0.0,0.0,,,,,,0.0,128293.0,0.0,,,0.0,0.0,0.0,,1497.6599999999999,1493.33,1402.9966666666667,1469.6633333333332,1531.6633333333332,1468.3233333333335,1485.6633333333332,1524.6566666666668,1584.3266666666666,1671.33,74.99666666666667,201.66333333333333,225.66333333333333,187.99666666666667,219.99666666666667,212.33,203.99666666666667,212.99666666666667,233.33,218.99666666666667
1,13,0.0,,,0.0,0.0,72.0,0.0,,,1.0,0.0,0.0,4.0,2.0,1.0,1.0,4.0,2.0,47.61904761904762,182.23809523809524,0.0,0.0,,,0.0,0.0,,,,,,0.0,69.0,0.0,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,141.0,292086.0,0.0,0.0,191731.0,0.0,,,0.0,2031.0,1370.0,4527.0,0.0,0.0,,,0.0,0.0,,,,,,0.0,100355.0,0.0,,,0.0,0.0,0.0,,113.32333333333334,73.66333333333334,74.99666666666667,74.99666666666667,78.66333333333334,71.66333333333334,83.66333333333334,87.66333333333334,87.66000000000001,76.66333333333334,60.98666666666667,63.663333333333334,71.99666666666667,67.66333333333334,61.330000000000005,61.663333333333334,71.33,67.33,68.99666666666667,61.663333333333334
1,14,0.0,,,0.0,0.0,100.0,0.0,,,1.0,0.0,0.0,4.0,2.0,1.0,1.0,4.0,2.0,52.285714285714285,1453.095238095238,0.0,0.0,,,0.0,0.0,,,,,,0.0,94.0,0.0,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,194.0,409338.0,0.0,0.0,268412.0,0.0,,,0.0,1593.0,1555.0,6314.0,0.0,0.0,,,0.0,0.0,,,,,,0.0,140926.0,0.0,,,0.0,0.0,0.0,,614.6633333333333,548.9933333333333,594.99,568.9966666666667,566.33,525.9966666666667,586.9966666666667,512.33,597.9966666666667,597.6633333333333,65.99666666666667,189.99666666666667,211.33,208.66333333333333,215.99666666666667,184.66333333333333,224.99666666666667,208.33,191.33,221.33
1,15,0.0,,,0.0,0.0,105.0,0.0,,,1.0,0.0,0.0,4.0,2.0,1.0,1.0,4.0,2.0,53.285714285714285,2172.6666666666665,0.0,0.0,,,0.0,0.0,,,,,,0.0,100.0,0.0,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,205.0,428119.0,0.0,0.0,280858.0,0.0,,,0.0,2042.0,1438.0,4827.0,0.0,0.0,,,0.0,0.0,,,,,,0.0,147261.0,0.0,,,0.0,0.0,0.0,,724.3299999999999,697.6633333333333,673.33,657.6633333333333,667.33,690.3299999999999,677.33,673.3266666666667,689.6566666666666,671.6633333333333,69.66333333333334,173.66333333333333,171.66333333333333,171.33,199.99666666666667,165.66333333333333,173.99666666666667,175.99666666666667,163.33,173.66333333333333
1,16,0.0,,,0.0,0.0,84.0,0.0,,,1.0,0.0,0.0,4.0,2.0,1.0,1.0,4.0,2.0,48.95238095238095,2327.714285714286,0.0,0.0,,,0.0,0.0,,,,,,0.0,81.0,0.0,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,165.0,336685.0,0.0,0.0,213354.0,0.0,,,0.0,2295.0,1387.0,4846.0,0.0,0.0,,,0.0,0.0,,,,,,0.0,123331.0,0.0,,,0.0,0.0,0.0,,819.3266666666667,715.6633333333333,716.3299999999999,709.9966666666666,695.9933333333333,724.9899999999999,714.9966666666666,723.3299999999999,739.9899999999999,795.9966666666666,69.99666666666667,189.66333333333333,159.66333333333333,159.33,177.33,159.33,164.99666666666667,184.66333333333333,180.33,187.66333333333333
1,17,0.0,,,0.0,0.0,88.0,0.0,,,1.0,0.0,0.0,4.0,2.0,1.0,1.0,4.0,2.0,50.666666666666664,2196.5238095238096,0.0,0.0,,,0.0,0.0,,,,,,0.0,86.0,0.0,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,174.0,372662.0,0.0,0.0,237499.0,0.0,,,0.0,2011.0,1696.0,5632.0,0.0,0.0,,,0.0,0.0,,,,,,0.0,135163.0,0.0,,,0.0,0.0,0.0,,746.66,731.6633333333333,724.3299999999999,753.9966666666666,800.66,762.6633333333333,763.3299999999999,785.9899999999999,833.6533333333333,808.9966666666666,89.99666666666667,70.66333333333334,81.66333333333334,74.33,80.99666666666667,78.99666666666667,71.99666666666667,117.99666666666667,87.99666666666667,76.99666666666667
1,18,0.0,,,0.0,0.0,93.0,0.0,,,1.0,0.0,0.0,4.0,2.0,1.0,1.0,4.0,2.0,50.57142857142857,2078.8571428571427,0.0,0.0,,,0.0,0.0,,,,,,0.0,90.0,0.0,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,183.0,378043.0,0.0,0.0,244036.0,0.0,,,0.0,1978.0,1454.0,5189.0,0.0,0.0,,,0.0,0.0,,,,,,0.0,134007.0,0.0,,,0.0,0.0,0.0,,703.66,628.33,659.33,629.3266666666667,673.9966666666667,617.33,721.6633333333333,715.66,722.6566666666666,698.6633333333333,77.99666666666667,133.99666666666667,139.99666666666667,139.99666666666667,134.99666666666667,153.33,154.99666666666667,141.66333333333333,153.66333333333333,129.33
1,19,0.0,,,0.0,0.0,72.0,0.0,,,1.0,0.0,0.0,4.0,2.0,1.0,1.0,4.0,2.0,47.04761904761905,2835.9523809523807,0.0,0.0,,,0.0,0.0,,,,,,0.0,67.0,0.0,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,139.0,294179.0,0.0,0.0,197079.0,0.0,,,0.0,1822.0,1445.0,4707.0,0.0,0.0,,,0.0,0.0,,,,,,0.0,97100.0,0.0,,,0.0,0.0,0.0,,972.66,983.3266666666667,975.66,923.3299999999999,987.3299999999999,948.9933333333333,974.9899999999999,1015.3299999999999,1029.9966666666667,1024.66,83.33,88.99666666666667,98.99666666666667,96.33,96.66333333333334,88.66333333333334,94.66333333333334,87.66333333333334,101.66333333333334,92.99666666666667
